    3,    9, 2010,   23,   47,   43, -22,741 -67,467 220,800   4,800   1,000    ,000   7,000
    3,    9, 2010,   21,    6,   34, -36,641 -73,402  44,400   4,800   1,000    ,000   7,000
    3,    9, 2010,   21,    1,   29, -33,610 -71,996   6,300   3,600   1,000    ,000   7,000
    3,    9, 2010,   19,   42,   41, -36,702 -73,154  39,600   4,700   1,000    ,000   7,000
    3,    9, 2010,   19,   21,   39, -35,667 -73,292    ,000   3,900   1,000    ,000   7,000
    3,    9, 2010,   18,   45,    7, -24,020 -67,468 226,600   4,500   1,000    ,000   7,000
    3,    9, 2010,   18,   22,   46, -36,631 -73,319  28,900   4,900   1,000    ,000   7,000
    3,    9, 2010,   18,   12,   38, -31,516 -68,730 156,300   5,100   1,000    ,000   7,000
    3,    9, 2010,   15,   38,   25, -34,497 -72,013  15,100   2,700   1,000    ,000   7,000
    3,    9, 2010,   11,   16,   44, -30,692 -71,604  46,100   4,700   1,000    ,000   7,000
    3,    9, 2010,   11,    8,   10, -21,658 -69,252  83,600   3,200   1,000    ,000   7,000
    3,    9, 2010,   10,   56,   36, -35,119 -71,867  44,900   3,200   1,000    ,000   7,000
    3,    9, 2010,    4,   18,   28, -20,942 -69,173 223,600   3,100   1,000    ,000   7,000
    3,    9, 2010,    0,    8,   45, -36,292 -73,589  39,700   4,100   1,000    ,000   7,000
